id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
15598,invited,21,3,3,0,1,1,Second Upper,Accounting,Bachelor,Full Time,Durham University,34,5,12,
15600,invited,22,2,4,0,3,1,Second Upper,Management,Bachelor,Full Time,Durham University,32,3,7,
15605,invited,22,1,3,0,1,1,Second Upper,Business Administration,Bachelor,Full Time,University of Birmingham,33,1,1,
15616,invited,24,4,4,0,1,2,Second Lower,Political Science,Bachelor,Full Time,University of British Columbia,75,7,51,
15619,rejected,22,0,3,0,1,1,Second Lower,Human Resources Management,Bachelor,Full Time,Others,37,0,0,
15621,invited,20,4,3,0,1,1,First,Civil Engineering,Bachelor,Full Time,University of Bath,33,5,22,
15630,rejected,26,1,2,1,1,1,Pass,English,Bachelor,Full Time,Others,46,3,8,
15636,invited,22,1,2,0,0,1,Second Upper,Finance,Bachelor,Full Time,RMIT University,36,2,10,
15645,invited,22,1,4,1,1,1,Second Upper,Political Science,Bachelor,Full Time,Others,44,4,51,
15650,rejected,22,0,3,0,0,1,Second Lower,Management,Bachelor,Full Time,The University of Manchester,34,0,0,
15651,invited,22,0,3,0,1,1,Second Lower,Political Science,Bachelor,Full Time,The University of Manchester,37,0,0,
15652,invited,22,0,3,0,0,1,Second Upper,Economics,Bachelor,Full Time,The University of Manchester,37,1,0,
15661,rejected,26,0,2,0,0,1,First,Others,Master,Full Time,City University of Hong Kong,8,1,3,
15675,rejected,22,1,3,0,0,1,Second Upper,Others,Bachelor,Full Time,University of Leicester,34,1,2,
15679,rejected,22,0,3,0,0,1,Second Upper,Business Operations Management,Bachelor,Full Time,University of Liverpool,37,1,3,
15680,invited,21,2,3,0,1,1,Second Upper,Others,Bachelor,Full Time,Cornell University,37,4,26,
15690,rejected,23,0,3,0,1,1,Second Lower,Business Administration,Bachelor,Full Time,Others,53,2,7,
15693,rejected,25,2,3,2,0,2,Second Upper,Business Administration,Master,Full Time,The Chinese University of Hong Kong,10,3,14,
15695,rejected,23,0,3,0,1,2,Second Upper,Others,Master,Full Time,University of Surrey,12,4,10,
15697,invited,23,1,3,0,1,1,Second Upper,Economics,Bachelor,Full Time,City University of Hong Kong,51,1,22,
15711,rejected,28,0,3,0,1,1,First,International Business,Bachelor,Full Time,University of California  San Diego (UCSD),21,3,109,
15717,rejected,23,5,3,0,1,2,First,Management,Master,Full Time,Others,12,3,15,
15734,invited,22,4,5,0,2,1,First,Business Administration,Bachelor,Full Time,Others,34,3,9,
15735,rejected,23,1,3,0,1,1,Second Upper,Psychology,Bachelor,Full Time,Others,47,1,6,
15738,rejected,23,2,3,0,0,1,Second Lower,Marketing,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,3,18,
15740,invited,23,1,3,0,1,2,Second Upper,Others,Master,Full Time,London School of Economics and Political Science (LSE),15,11,23,
15744,invited,23,2,4,0,1,2,First,Economics,Bachelor,Full Time,University of Reading,33,5,37,
15747,invited,23,2,3,0,1,1,Second Upper,Finance,Bachelor,Full Time,Indiana University Bloomington,45,2,6,
15749,invited,23,4,4,0,1,1,Second Upper,Laws,Bachelor,Full Time,The University of Nottingham,34,6,44,
15753,invited,22,0,3,0,0,1,Second Upper,Business Administration,Bachelor,Full Time,University of Washington,45,1,1,
15757,invited,23,2,3,0,1,1,First,Accounting,Bachelor,Full Time,The University of Sheffield,34,4,23,
