id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
15598,1,21,3,3,0,1,1,2,15,2,0,106,34,5,12,
15600,1,22,2,4,0,3,1,2,0,2,0,106,32,3,7,
15605,1,22,1,3,0,1,1,2,3,2,0,117,33,1,1,
15616,1,24,4,4,0,1,2,4,6,2,0,134,75,7,51,
15619,-1,22,0,3,0,1,1,4,19,2,0,13,37,0,0,
15621,1,20,4,3,0,1,1,1,29,2,0,19,33,5,22,
15630,-1,26,1,2,1,1,1,0,23,2,0,13,46,3,8,
15636,1,22,1,2,0,0,1,2,10,2,0,70,36,2,10,
15645,1,22,1,4,1,1,1,2,6,2,0,13,44,4,51,
15650,-1,22,0,3,0,0,1,4,0,2,0,101,34,0,0,
15651,1,22,0,3,0,1,1,4,6,2,0,101,37,0,0,
15652,1,22,0,3,0,0,1,2,22,2,0,101,37,1,0,
15661,-1,26,0,2,0,0,1,1,8,3,0,50,8,1,3,
15675,-1,22,1,3,0,0,1,2,8,2,0,45,34,1,2,
15679,-1,22,0,3,0,0,1,2,17,2,0,57,37,1,3,
15680,1,21,2,3,0,1,1,2,8,2,0,121,37,4,26,
15690,-1,23,0,3,0,1,1,4,3,2,0,13,53,2,7,
15693,-1,25,2,3,2,0,2,2,3,3,0,35,10,3,14,
15695,-1,23,0,3,0,1,2,2,8,3,0,21,12,4,10,
15697,1,23,1,3,0,1,1,2,22,2,0,50,51,1,22,
15711,-1,28,0,3,0,1,1,1,1,2,0,110,21,3,109,
15717,-1,23,5,3,0,1,2,1,0,3,0,13,12,3,15,
15734,1,22,4,5,0,2,1,1,3,2,0,13,34,3,9,
15735,-1,23,1,3,0,1,1,2,2,2,0,13,47,1,6,
15738,-1,23,2,3,0,0,1,4,12,2,0,27,45,3,18,
15740,1,23,1,3,0,1,2,2,8,3,0,0,15,11,23,
15744,1,23,2,4,0,1,2,1,22,2,0,3,33,5,37,
15747,1,23,2,3,0,1,1,2,10,2,0,32,45,2,6,
15749,1,23,4,4,0,1,1,2,27,2,0,124,34,6,44,
15753,1,22,0,3,0,0,1,2,3,2,0,103,45,1,1,
15757,1,23,2,3,0,1,1,1,15,2,0,11,34,4,23,
15761,-1,26,0,3,0,0,1,4,8,2,0,25,33,4,29,
15762,1,21,1,3,1,1,1,2,8,2,0,87,34,1,2,
15773,1,22,3,3,1,1,1,1,15,2,0,11,34,3,8,
15791,-1,23,0,2,1,1,2,4,22,3,0,64,16,1,3,
15802,-1,23,3,3,1,1,1,1,3,2,0,13,45,3,13,
15811,1,20,3,2,1,1,1,2,6,2,0,106,33,4,29,
15816,-1,26,2,2,0,1,1,2,15,2,0,9,33,3,31,
15828,1,22,8,2,0,1,1,2,6,2,0,23,45,5,12,
15836,-1,24,0,3,0,1,2,3,27,2,0,38,77,1,11,
15844,-1,23,3,2,1,1,1,1,15,2,0,13,42,1,3,
15855,1,22,1,3,0,1,1,2,15,2,0,81,44,3,7,
15859,-1,22,0,2,0,1,1,1,11,2,0,13,48,1,2,
15861,-1,29,0,3,0,1,1,2,8,2,0,13,1,1,19,
15866,1,21,2,3,0,2,1,2,7,2,0,0,33,6,10,
15868,1,22,1,3,1,0,1,1,3,2,0,67,45,3,10,
15877,1,22,3,2,2,1,2,1,15,0,0,134,10,2,17,
15878,-1,22,0,2,0,1,2,0,0,2,0,48,23,2,6,
15883,-1,33,1,2,0,1,1,2,14,2,0,13,48,1,6,
15892,-1,24,1,4,1,0,2,4,11,3,0,13,21,1,5,
15894,-1,26,0,3,0,0,1,2,8,2,0,92,47,1,41,
15895,1,23,2,3,1,1,1,1,20,2,0,96,46,2,10,
15897,-1,31,1,2,1,1,1,2,0,3,0,13,21,3,105,
15903,-1,24,3,3,0,1,1,1,8,2,0,13,46,2,5,
15905,-1,28,0,2,0,1,2,1,10,3,0,48,25,4,17,
15906,1,23,3,3,2,1,1,2,2,2,0,33,45,6,8,
15908,1,22,3,4,0,1,2,2,8,2,0,27,48,4,13,
15909,1,24,3,2,0,1,1,1,8,2,0,13,25,1,7,
15913,-1,25,3,2,0,1,1,4,22,2,0,96,45,4,15,
15919,-1,27,2,3,0,1,2,2,3,3,0,13,25,3,13,
15920,-1,23,2,3,1,1,1,2,3,2,0,9,35,4,26,
15921,-1,27,1,3,0,0,1,1,3,3,0,13,13,4,39,
15933,-1,27,1,2,1,1,2,1,11,2,0,13,57,2,34,
15936,-1,27,2,2,1,1,2,1,10,3,0,13,22,4,55,
15938,-1,23,2,4,4,1,1,1,10,2,0,13,37,2,10,
15940,-1,26,1,4,0,1,1,2,0,3,0,57,16,1,5,
15942,-1,26,0,2,1,1,2,2,29,2,0,13,67,0,0,
15943,-1,24,1,3,0,0,1,1,3,2,0,13,44,2,5,
15947,1,23,3,3,0,1,1,2,8,2,0,8,21,5,15,
15948,-1,27,0,2,0,1,1,2,22,2,0,13,53,1,16,
15951,1,22,1,2,1,1,1,4,0,2,0,0,34,1,6,
15957,-1,22,1,3,0,1,1,2,3,2,0,13,45,1,3,
15959,-1,26,0,2,0,0,1,2,8,2,0,72,52,1,35,
15961,-1,29,0,4,0,1,2,2,22,3,0,58,23,6,87,
15964,-1,22,2,2,0,2,1,2,10,2,0,0,35,3,39,
15967,-1,24,1,3,0,1,2,2,1,2,0,117,30,1,3,
15969,-1,23,0,3,0,1,1,4,8,2,0,0,34,5,4,
15971,1,22,2,4,4,1,1,1,22,2,0,27,53,6,16,
15973,1,23,0,4,3,1,1,2,8,2,0,50,45,4,26,
15999,1,22,2,3,0,1,1,2,8,2,0,66,45,3,5,
16001,-1,25,1,2,0,1,1,2,22,2,0,13,52,1,6,
16010,1,23,0,3,0,0,2,4,22,2,0,10,24,0,0,
16015,-1,47,0,2,0,1,1,1,3,2,0,13,35,1,26,
16018,-1,22,3,3,0,2,1,4,6,2,0,101,33,5,2,
16041,1,23,3,4,0,1,1,4,15,2,0,48,41,4,36,
16046,1,21,3,2,0,1,1,1,8,2,0,13,25,0,0,
16049,-1,28,0,2,0,0,1,3,22,2,0,38,37,1,0,
16055,-1,31,1,3,0,1,1,2,32,0,0,13,25,1,14,
16056,-1,26,2,3,0,1,3,2,8,3,0,13,17,4,27,
16063,1,21,3,3,2,1,1,2,3,2,0,27,45,3,8,
16064,-1,31,1,2,0,1,2,0,18,3,0,13,28,1,3,
16071,1,21,4,3,1,1,1,1,22,2,0,87,32,4,4,
16079,1,25,2,2,2,1,2,1,8,3,0,107,10,4,17,
16087,1,23,1,2,0,1,2,2,8,2,0,123,21,4,16,
16091,-1,22,4,3,1,1,1,3,8,2,0,97,23,2,23,
16095,-1,25,3,3,0,1,1,1,3,2,0,136,44,1,3,
16105,-1,23,0,2,0,1,1,0,11,2,0,13,50,2,15,
16106,-1,24,0,2,1,1,2,1,0,2,0,101,34,4,41,
16111,1,24,0,2,1,1,3,2,5,3,0,33,1,2,3,
16114,-1,25,2,2,0,1,1,4,22,2,0,96,48,2,8,
16117,-1,23,0,3,0,0,1,2,8,2,0,123,22,4,14,
16118,1,22,0,3,0,1,1,2,1,2,0,50,54,3,15,
16127,1,23,1,2,0,1,1,2,8,2,0,13,38,1,1,
16130,1,25,1,2,0,1,1,2,8,2,0,9,46,2,14,
16131,-1,25,0,3,1,1,2,0,8,3,0,97,12,2,35,
16137,1,22,0,2,0,1,1,4,15,2,0,61,26,1,3,
16143,1,24,1,2,1,1,4,1,22,2,0,7,47,4,32,
16163,-1,24,1,3,2,1,2,2,8,3,0,13,34,2,22,
16164,-1,22,2,3,1,1,1,2,30,2,0,35,47,3,6,
16167,-1,23,1,3,1,1,1,2,12,2,0,13,46,1,14,
16170,-1,26,1,3,1,1,3,2,0,3,0,13,20,1,6,
16177,1,24,0,4,2,1,1,2,8,2,0,27,44,2,17,
16182,1,24,2,2,0,1,1,2,10,2,0,48,37,3,13,
16183,-1,23,2,3,0,1,1,4,6,2,0,13,48,3,18,
16188,-1,27,2,3,1,1,2,1,23,3,0,13,34,2,8,
16189,-1,27,1,3,1,1,2,2,10,3,0,46,32,2,14,
16191,1,23,1,3,0,1,1,4,22,2,0,67,58,3,12,
16203,1,22,2,3,0,1,1,4,32,2,0,27,46,2,6,
16210,1,21,2,3,0,1,1,2,10,2,0,114,33,3,10,
16212,-1,25,0,2,0,1,1,4,15,2,0,13,50,1,17,
16215,-1,24,1,3,1,1,1,4,23,2,0,67,64,3,26,
16218,-1,31,1,2,1,1,1,1,3,3,0,35,12,1,25,
16228,1,22,3,3,0,1,1,1,3,2,0,72,36,4,16,
16238,-1,26,5,5,0,1,3,4,8,2,0,87,33,3,28,
16240,-1,23,0,3,0,1,2,0,8,2,0,105,15,4,37,
16242,-1,26,1,2,1,0,2,2,3,3,0,13,16,5,86,
16247,-1,26,0,2,0,1,1,3,15,2,0,13,57,2,49,
16251,1,24,1,3,0,2,1,1,22,2,0,75,25,2,5,
16259,-1,24,0,2,0,0,2,1,8,3,0,13,21,2,18,
16260,-1,25,1,2,0,1,1,4,6,2,0,136,44,3,17,
16268,-1,24,0,2,0,0,1,0,6,2,0,86,58,0,0,
16271,-1,26,0,2,0,1,1,4,27,2,0,136,47,7,14,
16272,-1,26,1,2,0,1,1,2,15,2,0,136,45,1,1,
16273,-1,20,1,2,0,1,3,2,15,2,0,13,16,0,0,
16276,1,24,0,3,0,0,1,2,3,3,0,129,20,0,0,
16288,-1,33,0,2,0,1,1,4,26,2,0,13,48,1,3,
16290,1,24,2,4,2,1,1,2,8,2,0,96,45,2,11,
16294,1,23,1,2,0,2,1,2,8,2,0,96,47,5,16,
16305,-1,24,3,2,0,0,1,4,3,2,0,13,45,4,79,
16306,-1,24,3,2,1,2,1,2,15,2,0,136,45,3,25,
16307,-1,25,3,2,0,1,2,1,22,3,0,96,18,3,17,
16308,1,22,3,2,1,1,1,1,15,2,0,9,46,4,14,
16309,-1,27,0,3,0,1,1,4,10,2,0,10,32,2,8,
16310,1,25,0,4,0,1,1,2,26,2,0,119,37,1,0,
16313,-1,26,0,2,0,0,1,1,12,3,0,38,29,3,38,
16315,1,21,2,3,0,1,1,2,18,2,0,27,45,4,10,
16316,-1,27,1,4,0,1,1,4,15,2,1,13,35,3,60,
16323,-1,26,0,2,1,0,1,2,27,2,0,136,45,0,0,
16324,1,25,0,2,1,1,1,2,27,2,0,96,48,4,22,
16325,-1,29,1,2,1,1,4,2,18,3,2,136,25,1,38,
16326,1,22,2,3,2,1,1,1,0,2,1,101,25,4,38,
16327,-1,25,1,2,1,1,2,4,17,3,0,13,23,2,21,
16329,-1,22,1,3,0,1,1,4,8,2,0,13,29,1,1,
16331,-1,25,0,2,0,1,1,2,22,2,0,0,37,2,7,
16335,-1,26,2,2,1,2,2,1,10,3,0,117,16,2,10,
16336,-1,22,3,3,0,1,1,1,10,2,0,44,45,4,11,
16339,1,22,3,2,2,1,1,2,22,2,0,27,48,2,4,
16341,-1,23,1,4,0,1,1,4,22,2,0,117,34,4,18,
16343,-1,26,0,2,0,1,3,2,8,2,0,104,34,7,66,
16344,-1,22,2,3,0,1,1,4,10,2,0,69,34,4,15,
16348,-1,25,2,2,0,1,2,0,8,3,0,69,17,5,22,
16350,-1,27,3,3,3,0,3,1,8,1,0,25,37,3,9,
16353,-1,21,0,3,0,0,1,2,15,2,0,13,117,3,26,
16355,-1,25,1,4,0,1,2,0,3,2,0,96,33,1,19,
16361,-1,28,0,3,0,0,2,1,1,3,0,13,45,2,48,
16363,1,22,3,3,1,1,3,2,3,2,0,79,46,3,6,
16366,-1,22,1,3,0,1,1,3,7,2,0,11,34,1,4,
